date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:53:06	6365/6365	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2017:22:45%20GMT	https://www.flent.in/properties/timber-grove-domlur	C:/My%20Web%20Sites/flent-reserve/www.flent.in/properties/timber-grove-domlur.html	(from https://www.flent.in/properties)
22:53:10	6366/6366	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2017:22:49%20GMT	https://www.flent.in/properties/azure-harmony-whitefield	C:/My%20Web%20Sites/flent-reserve/www.flent.in/properties/azure-harmony-whitefield.html	(from https://www.flent.in/properties)
22:53:13	6362/6362	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2017:22:51%20GMT	https://www.flent.in/properties/3bhk-hrbr-layout	C:/My%20Web%20Sites/flent-reserve/www.flent.in/properties/3bhk-hrbr-layout.html	(from https://www.flent.in/properties)
22:53:28	6362/6362	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2017:23:06%20GMT	https://www.flent.in/properties/amber-square-sarjapur	C:/My%20Web%20Sites/flent-reserve/www.flent.in/properties/amber-square-sarjapur.html	(from https://www.flent.in/properties)
22:53:28	6366/6366	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2017:23:07%20GMT	https://www.flent.in/properties/serenity-greens	C:/My%20Web%20Sites/flent-reserve/www.flent.in/properties/serenity-greens.html	(from https://www.flent.in/properties)
22:53:32	6365/6365	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2017:23:11%20GMT	https://www.flent.in/properties/the-modern-condo-kalyan-nagar	C:/My%20Web%20Sites/flent-reserve/www.flent.in/properties/the-modern-condo-kalyan-nagar.html	(from https://www.flent.in/properties)
22:53:35	6366/6366	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2017:23:13%20GMT	https://www.flent.in/properties/the-golden-gate-richards-town	C:/My%20Web%20Sites/flent-reserve/www.flent.in/properties/the-golden-gate-richards-town.html	(from https://www.flent.in/properties)
22:53:50	6365/6365	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2017:23:29%20GMT	https://www.flent.in/properties/alpine-richardstown	C:/My%20Web%20Sites/flent-reserve/www.flent.in/properties/alpine-richardstown.html	(from https://www.flent.in/properties)
22:53:51	6362/6362	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2017:23:29%20GMT	https://www.flent.in/properties/cozy-1-bhk-hsr-layout	C:/My%20Web%20Sites/flent-reserve/www.flent.in/properties/cozy-1-bhk-hsr-layout.html	(from https://www.flent.in/properties)
22:53:51	0/-1	---M--	502	error ('')			https://www.flent.in/refund-policy	C:/My%20Web%20Sites/flent-reserve/www.flent.in/refund-policy.html	(from https://www.flent.in/reserve)
22:53:54	6365/6365	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2017:23:33%20GMT	https://www.flent.in/properties/15th-main-indiranagar	C:/My%20Web%20Sites/flent-reserve/www.flent.in/properties/15th-main-indiranagar.html	(from https://www.flent.in/properties)
22:53:57	6365/6365	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2017:23:35%20GMT	https://www.flent.in/properties/orchard-greens-domlur	C:/My%20Web%20Sites/flent-reserve/www.flent.in/properties/orchard-greens-domlur.html	(from https://www.flent.in/properties)
22:53:57	0/-1	---M--	502	error ('')			https://www.flent.in/a	C:/My%20Web%20Sites/flent-reserve/www.flent.in/a.html	(from https://connect.facebook.net/en_US/fbevents.js)
22:54:12	6365/6365	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2017:23:51%20GMT	https://www.flent.in/properties/urban-nest-domlur	C:/My%20Web%20Sites/flent-reserve/www.flent.in/properties/urban-nest-domlur.html	(from https://www.flent.in/properties)
22:54:12	6366/6366	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2017:23:51%20GMT	https://www.flent.in/e	C:/My%20Web%20Sites/flent-reserve/www.flent.in/e.html	(from https://embed.typeform.com/next/embed.js)
22:54:12	0/-1	---M--	502	error ('')			https://www.flent.in/to	C:/My%20Web%20Sites/flent-reserve/www.flent.in/to.html	(from https://www.flent.in/to/)
22:54:12	6366/6366	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2017:23:55%20GMT	https://www.flent.in/-closed=true;Path=	C:/My%20Web%20Sites/flent-reserve/www.flent.in/-closed=true;Path=.html	(from https://www.flent.in/-closed=true;Path=/)
22:54:12	6366/6366	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2017:23:57%20GMT	https://www.flent.in/schema.org	C:/My%20Web%20Sites/flent-reserve/www.flent.in/schema.html	(from https://www.flent.in/schema.org/)
22:54:12	0/-1	---M--	502	error ('')			https://www.flent.in/to	C:/My%20Web%20Sites/flent-reserve/www.flent.in/to.html	(from https://www.flent.in/to/)
22:54:13	6366/6366	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2017:24:13%20GMT	https://www.flent.in/-closed=true;Path=	C:/My%20Web%20Sites/flent-reserve/www.flent.in/-closed=true;Path=.html	(from https://www.flent.in/-closed=true;Path=/)
